Year,Month,Domestic,International,Total
2011,9,"1,77,351","9,94,485","11,71,845"
2011,10,"1,75,544","10,30,429","12,05,983"
2011,11,"1,77,649","9,52,162","11,29,822"
2011,12,"1,61,245","11,11,225","12,72,482"
2012,1,"1,38,785","11,80,898","13,19,684"
2012,2,"1,57,706","9,40,980","10,98,688"
2012,3,"1,80,133","9,72,317","11,52,453"
2012,4,"1,57,114","10,01,330","11,58,448"
2012,5,"1,74,987","8,76,247","10,51,239"
2012,6,"1,66,729","9,78,946","11,45,681"
2012,7,"1,61,349","10,76,643","12,37,999"
2012,8,"1,74,161","10,04,945","11,79,114"
2012,9,"1,70,106","10,56,072","12,26,187"
2012,10,"1,74,050","10,63,522","12,37,582"
2012,11,"1,74,893","10,26,993","12,01,897"
2012,12,"1,56,582","11,93,353","13,49,947"
2013,1,"1,40,104","12,12,368","13,52,473"
2013,2,"1,44,131","9,76,535","11,20,668"
2013,3,"1,73,545","10,42,459","12,16,007"
2013,4,"1,65,261","10,29,489","11,94,754"
2013,5,"1,71,742","9,38,557","11,10,304"
2013,6,"1,55,240","10,12,191","11,67,437"
2013,7,"1,60,987","11,41,480","13,02,474"
