Indicator_Name,Adjusted net national income per capita (annual % growth),Age dependency ratio (% of working-age population),"Air transport, passengers carried",Consumer price index (2010 = 100),"Employment to population ratio, 15+, total (%) (national estimate)",Fuel exports (% of merchandise exports),Fuel imports (% of merchandise imports),GDP (current US$),GDP per capita (current US$),Imports of goods and services (% of GDP),"Inflation, consumer prices (annual %)",Population ages 15-64 (% of total),"Population ages 15-64, total",Population growth (annual %),"Population, total",Urban population (% of total)
1994,5.705512616,54.57973673,55475500,73.81664879,55.78689957,6.721718181,4.200886014,1140490000000,19709.2381,25.29139655,1.948051086,64.69153127,37434237,0.254586487,57865745,78.293
1995,2.360883395,54.70764673,59688800,75.79136582,56.22190094,6.223943418,3.545298895,1335220000000,23013.45882,24.88595106,2.675164839,64.63804635,37502368,0.264547417,58019030,78.353
1996,2.577442741,54.71844448,64208500,77.65323377,56.63420105,6.750725008,3.879640628,1408780000000,24219.62285,25.56817112,2.456569992,64.63353477,37595356,0.254626384,58166950,78.413
1997,6.598821578,54.58675333,62763200,79.06374515,57.48600006,6.058631558,3.519708079,1552480000000,26621.48006,24.88945507,1.816423226,64.68859501,37724418,0.257553323,58316954,78.472
1998,6.458923232,54.34208819,61940200,80.2955909,57.9294014,4.172797916,2.492373085,1638510000000,28014.8947,24.52824277,1.55804124,64.79114044,37894486,0.291406085,58487141,78.532
1999,1.852065777,54.02926438,65738296,81.37698077,57.94749832,5.569051199,2.701549557,1665620000000,28383.66891,25.15866587,1.346761202,64.92272727,38098257,0.333405882,58682466,78.591
2000,3.478314544,53.67567301,70436030,82.02581191,58.47100067,8.339555322,4.076929607,1647950000000,27982.35576,26.68714783,0.797315333,65.07210889,38322601,0.357300887,58892514,78.651
2001,2.772167609,53.32177397,70331725,83.04137969,58.65779877,8.081644516,4.193087906,1621510000000,27427.5875,27.04261037,1.238107565,65.22230856,38559216,0.38497597,59119673,78.751
2002,2.847754669,52.88280385,72381196,84.06634918,58.68059921,8.108056176,4.116924675,1768410000000,29785.98629,26.56884333,1.234287638,65.40958018,38833981,0.42333708,59370479,79.047
2003,3.408817011,52.40795961,76388660,85.2229693,58.90340042,8.197608836,4.449605754,2038400000000,34173.97998,25.93693158,1.375841979,65.61337083,39136786,0.465641114,59647577,79.339
2004,2.408390586,51.95443174,86054762,86.37018217,59.03979874,8.753025287,6.023659025,2398560000000,39983.98467,26.06864714,1.346131074,65.8092024,39477562,0.568943113,59987905,79.629
2005,2.751983227,51.5711073,93602879,88.11725541,59.31359863,9.361198541,8.511649643,2520700000000,41732.64054,27.25388168,2.022773594,65.97563538,39850079,0.686611306,60401206,79.915
2006,-0.239233364,51.41006342,97544631,90.28111707,59.33509827,9.50949565,9.489209104,2692610000000,44252.31582,29.11738478,2.455661664,66.04580766,40186774,0.735048678,60846820,80.199
2007,1.693856359,51.32959751,101622807,92.43573146,59.23389816,10.2745141,8.551563269,3074360000000,50134.3161,27.33929251,2.386561508,66.08092595,40522451,0.778666112,61322463,80.479
2008,-2.757031208,51.35874032,104713553,95.69077122,59.23820114,12.87979409,11.96423991,2890560000000,46767.59222,29.66650493,3.521408563,66.06820348,40834771,0.787032622,61806995,80.757
2009,-4.851429118,51.51127437,102464509,97.56796745,57.8465004,11.04378989,9.189687404,2382830000000,38262.18213,28.31590757,1.961731736,66.00168899,41103390,0.75639086,62276270,81.031
2010,2.887067823,51.79171761,101515720.2,100,57.49610138,12.43763077,10.19623934,2441170000000,38893.01849,30.81986762,2.492654725,65.879747,41350322,0.783888647,62766365,81.302
2011,0.084250767,52.52360112,111598546.1,103.8561124,57.31669998,12.63819972,12.89268936,2619700000000,41412.34924,32.04973267,3.856112447,65.5636234,41474839,0.781677289,63258918,81.57
2012,-0.539909778,53.26040979,115419920.6,106.5285741,57.54850006,13.93585888,14.06350806,2662090000000,41790.77914,31.71202658,2.573234797,65.24842285,41563441,0.695315843,63700300,81.837
2013,1.543829854,54.01564946,118605866,108.9698539,57.8987999,13.36832725,13.85399482,2739820000000,42724.06788,31.68404511,2.291666667,64.92846735,41637474,0.669533807,64128226,82.102
2014,2.279342043,54.78284844,124901676.1,110.5511374,58.84479904,11.76321026,12.1262975,3022830000000,46783.46922,30.25243568,1.451120163,64.60664123,41744392,0.753349499,64613160,82.365
2015,2.100818754,55.53596761,131512994,110.9580174,59.41630173,7.654934566,8.349708139,2885570000000,44305.55463,29.09515724,0.368046842,64.29381098,41873827,0.794967909,65128861,82.626
2016,1.575678798,56.17486701,143781714,112.0769373,59.89139938,6.52305086,6.931418633,2650850000000,40412.03362,30.32708521,1.008417368,64.03078899,42001358,0.714030265,65595565,82.886
